#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
heir_text_traits_lustful;[GetHerHis] eyes always set upon the next target, the vassals of the realm do well in locking up their [GetHusbandWifeOpp]s; lui succède. Toujours à l'affût d'une nouvelle conquête, les vassaux feraient mieux d'enfermer leurs [GetHusbandWifeOpp]s;Die Augen von [GetFirstName] sind stets auf das nächste Ziel gerichtet. Die Vasallen im Reich tun gut daran, ihre Ehepartner wegzusperren.;;Siempre tiene los ojos fijado en su próximo objetivo. Los vasallos del reino harán bien en encerrar bajo llave a sus [GetHusbandWifeOpp]s;;;;;;;;;x
heir_text_traits_paranoid;A suspicious [GetManWoman], [GetFirstName]'s paranoia might not sit well with [GetHerHis] subjects; lui succède. Un[Get_E] [GetManWoman] très méfiant[Get_E], ce qui risque de poser problème à ses sujets;[GetFirstName] ist überaus misstrauisch und neigt zu Paranoia, was bei den Untertanen kaum gut ankommen sollte.;;[GetManWoman] suspicaz, puede que la paranoia de [GetFirstName] no encaje bien con sus súbditos;;;;;;;;;x
heir_text_traits_paranoid_deceitful;A devious and distrustful character, we expect [GetHerHim] to have daggers with each of our names on; lui succède. Retors et méfiant[Get_E], nous nous attendons à être des cibles pour [GetLuiElle];Da [GetSheHe] verschlagen und argwöhnisch ist, hält [GetSheHe] sicher schon eine Sammlung von Dolchen mit unseren Namen darauf bereit.;;Personaje artero y desconfiado, [GetRleRla] imaginamos llevando dagas con nuestros nombres escritos en ellas;;;;;;;;;x
heir_text_traits_paranoid_stressed;Plagued by seeing shadows around every corner, [GetSheHe] is likely to be ruled by fear; lui succède. Tourmenté[Get_E] par des gens qui [GetLeLa] suivraient, [GetIlElle] est enclin[Get_E] à être dominé[Get_E] par la peur;[GetSheHeCap] sieht Schatten hinter jeder Ecke und wird vermutlich von der eigenen Angst beherrscht.;;Atormentad[GetOA] con ver sombras en cada esquina, es probable que reine mediante el miedo;;;;;;;;;x
heir_text_traits_patient;Being a [GetManWoman] willing to wait for a plan to come together, we expect great change to come to the realm - albeit slowly; lui succède. Attendant patiemment un plan d'action, le pays changera beaucoup - mais lentement;[GetFirstName] übt sich stets in Geduld. Wir erwarten große Veränderungen im Reich, auch wenn diese sicherlich noch eine Weile auf sich warten lassen.;;[GetManWoman] deseos[GetOA] de esperar a que los planes cuajen, esperamos que lleguen grandes cambios al reino… solo que lentamente;;;;;;;;;x
heir_text_traits_patient_trusting;A confiding and patient [GetManWoman], [GetFirstName] is convinced that good things will eventually come to [GetHerHim]; lui succède. Un[Get_E] [GetManWoman] confiant[Get_E] et patient[Get_E] qui a la conviction que de bonnes choses vont finir par lui arriver;[GetFirstName] ist vertrauensvoll, geduldig und davon überzeugt, dass letztlich alles gut werden wird.;; [GetManWoman] confiad[GetOA] y paciente, [GetFirstName] está convencid[GetOA] de que al final [GetRleRla] llegarán las cosas buenas;;;;;;;;;x
heir_text_traits_poet;A prolific writer of prose, [GetFirstName] will likely be able to charm anyone with [GetHerHis] words; lui succède. Prosateur prolifique, [GetIlElle] sera capable de charmer quiconque avec ses mots;[GetFirstName] ist in den Künsten der Prosa wohl bewandert und vermag mit gewandten Worten jeden zu überzeugen.;;Prolífic[GetOA] escritor[GetXA] de prosa, es probable que [GetFirstName] encante a todo el mundo con sus palabras;;;;;;;;;x
heir_text_traits_possessed;Suspected to be possessed by a demon sent by [Religion.GetRandomEvilGodName], the [Religion.GetPriestTitle]s will do their best to reign [GetHerHim] in; lui succède. Suspecté[Get_E] d'être possédé[Get_E] par un démon envoyé par [Religion.GetRandomEvilGodName], les [Religion.GetPriestTitle]s feront de leur mieux pour [Root.GetLeLa] limiter;[GetSheHeCap] soll von einem Dämon besessen sein, der von [Religion.GetRandomEvilGodName] gesandt wurde. Die [Religion.GetPriestTitle]-Gemeinschaft wird alles daransetzen, [GetHerHim] unter Kontrolle zu halten.;;Sospechos[GetOA] de estar poseíd[GetOA] por un demonio enviado por [Religion.GetRandomEvilGodName], los [Religion.GetPriestTitle]s lo darán todo para tener[GetRleRla] controlado;;;;;;;;;x
heir_text_traits_proud;Ever confident in [GetHerselfHimself], [GetFirstName]'s rule may bring glory or shame to the [GetOnlyDynastyName] dynasty - only time will tell; lui succède. Ayant toujours confiance en [GetLuiElle], son règne apportera gloire ou honte à la dynastie [GetOnlyDynastyName], seul le temps nous le dira;Erfüllt von Selbstbewusstsein wird [GetFirstName] entweder Ruhm oder Schande über die [GetOnlyDynastyName]-Dynastie bringen. Die Zukunft wird es zeigen.;;Siempre segur[GetOA] de sí mism[GetOA], el reinado de [GetFirstName] puede traer gloria o vergüenza a la dinastía [GetOnlyDynastyName]. El tiempo lo dirá;;;;;;;;;x
heir_text_traits_proud_brave;Always clad in glistening and splendid armor, [GetFirstName] wants everyone to see [GetHerHim] as [GetSheHe] charges into battle; lui succède. Portant toujours une armure scintillante et splendide, [GetIlElle] veut que tout le monde [GetLeLa] voit en train de charger l'ennemi;[GetFirstName] ist stets in glänzender Rüstung anzutreffen und möchte, dass alle dabei zusehen, wie [GetSheHe] sich in den Kampf stürzt.;;Vistiendo siempre una armadura reluciente y espléndida, [GetFirstName] quiere que todos [GetRleRla] vean cuando se lance al combate.;;;;;;;;;x
heir_text_traits_shy;A silent [GetManWoman], we do not expect [GetHerHim] to do well in diplomatic matters; lui succède. Un[Get_E] [GetManWoman] taciturne dont nous doutons des aptitudes en matière diplomatique;[GetFirstName] ist schweigsam, und wir gehen davon aus, dass [GetSheHe] sich in diplomatischen Angelegenheiten schwertun wird.;;[GetManWoman] silencios[GetOA], no esperamos que se [GetRleRla] den bien los asuntos diplomáticos;;;;;;;;;x
heir_text_traits_shy_content;A reclusive [GetManWoman], [GetSheHe] is perfectly fine letting the council do most of [GetHerHis] work - for better or for worse; lui succède. Un[Get_E] [GetManWoman] reclus[Get_E] qui accepte volontiers de laisser le Conseil faire le plus gros du travail - pour le meilleur, comme pour le pire;[GetSheHeCap] lebt sehr zurückgezogen und überlässt dem Rat nur zu gern den Großteil der Arbeit ... auf Gedeih und Verderb.;;[GetManWoman] hurañ[GetOA], es perfectamente capaz de dejar que el consejo haga la mayor parte de su trabajo, para bien o para mal;;;;;;;;;x
heir_text_traits_shy_trusting;A naive [GetManWoman], [GetHerHis] reluctant nature may stop [GetHerHim] from taking charge; lui succède. Sa nature peu enthousiaste et sa naïveté pourraient l'empêcher de prendre les rênes;Naivität und ein zurückhaltendes Wesen könnten verhindern, dass [GetSheHe] die Zügel in der Hand behalten wird.;;[GetManWoman] ingenu[GetOA], su naturaleza reacia puede impedir[GetRleRla] que tome el mando;;;;;;;;;x
heir_text_traits_slothful;Being an idle [GetManWoman], we fear that nothing will come of [GetFirstName]'s reign; lui succède. Étant un[Get_E] [GetManWoman] fainéant[Get_E], nous craignons que rien ne ressorte de son règne;Aufgrund der Untätigkeit von [GetFirstName] fürchten wir, dass im Reich nichts vorangehen wird.;;[GetManWoman] holgazán[GetXA], tememos que nada saldrá del reinado de [GetFirstName];;;;;;;;;x
heir_text_traits_strong_brave;Towering over [GetHerHis] enemies on the battlefield, [GetFirstName] will have no problem inspiring [GetHerHis] troops; lui succède. Surpassant ses ennemis sur le champ de bataille, [GetIlElle] n'aura pas de mal à inspirer ses hommes;[GetFirstName] gibt auf dem Schlachtfeld eine imposante Figur ab und wird keine Probleme dabei haben, die Truppen zu motivieren.;;Al imponerse sobre sus enemigos en el campo de batalla, a [GetFirstName] no le costará nada inspirar a sus tropas;;;;;;;;;x
heir_text_traits_stubborn;A bullheaded [GetManWoman], [GetFirstName]'s subjects may have a hard time getting a word in after [GetSheHe] makes up [GetHerHis] mind; lui succède. Un[Get_E] [GetManWoman] dont les sujets auront du mal à placer un mot après qu'[GetIlElle] ait pris une décision;Die Dickköpfigkeit von [GetFirstName] wird es Untertanen erschweren, [GetHerHim] von einmal gefassten Entschlüssen abzubringen.;; [GetManWoman] obstinad[GetOA], puede que a los súbditos de [GetFirstName] les cueste conseguir añadir algo después de que [GetElElla] haya tomado su decisión;;;;;;;;;x
heir_text_traits_stubborn_kind;Convinced that everyone should be shown kindness regardless of worth, we fear that [GetFirstName]'s enemies may use this to their advantage; lui succède. Convaincu[Get_E] que tout le monde devrait faire preuve de gentillesse, nous craignons que ses ennemis n'en profitent;[GetFirstName] ist davon überzeugt, dass alle Menschen unabhängig ihrer Herkunft gleichermaßen gütig behandelt werden sollten. Feinde könnten dies jedoch zu ihrem Vorteil nutzen.;;Convencid[GetOA] que se deber mostrar amabilidad a todos a pesar de su valía, tememos que los enemigos de [GetFirstName] empleen esto en su beneficio;;;;;;;;;x
heir_text_traits_temperate;A modest and temperate [GetManWoman], [GetFirstName]'s passive nature may also be [GetHerHis] undoing; lui succède. Un[Get_E] [GetManWoman] tempéré[Get_E] et modeste, dont la nature passive pourrait tout aussi bien [GetLeLa] conduire à sa perte;[GetFirstName] ist bescheiden und gemäßigt. Doch zu große Passivität kann sich nachteilig auf ein Reich auswirken.;;[GetManWoman] modest[GetOA] y comedid[GetOA], la naturaleza pasiva de [GetFirstName]puede que también sea su perdición;;;;;;;;;x
heir_text_traits_temperate_lustful;Ever willing to entertain [GetHerHis] spouse, we expect the royal family to grow and prosper; lui succède. Toujours disposé[Get_E] à divertir s[GetOnAOpp] [GetHusbandWifeOpp], nous nous attendons à ce que la famille s'agrandisse;Da [GetSheHe] der Erfüllung der ehelichen Pflichten stets und gerne nachkommt, rechnen wir mit einer stetig wachsenden Königsfamilie.;;Siempre deseos[GetOA] de entretener a su consorte, esperamos que la familia real aumente y prospere;;;;;;;;;x
heir_text_traits_tolerant;Tolerant of those of other faiths, [GetFirstName]'s curiosity will surely find [GetHerHim] many friends; lui succède. Tolérant ceux ayant d'autres croyances, sa curiosité lui fera sans doute de nombreux amis;[GetFirstName] ist tolerant im Umgang mit Andersgläubigen und bringt eine gesunde Menge an Wissbegier mit, um viele Freunde zu gewinnen.;;Tolerante con los de otras fes, la curiosidad de [GetFirstName] [GetRleRla] dará muchos amigos;;;;;;;;;x
heir_text_traits_trusting;Trusting and complacent, [GetFirstName]'s council may have more power over [GetHerHim] than what is right; lui succède. Sa nature confiante pourrait octroyer un pouvoir trop grand au Conseil;Da [GetFirstName] äußerst treuherzig und selbstzufrieden ist, wird der Rat wohl mehr Macht über [GetHerHim] haben, als angebracht wäre.;;Confiad[GetOA] y complaciente, puede que el consejo de [GetFirstName] tenga más poder sobre [GetElElla] de lo que debería;;;;;;;;;x
heir_text_traits_ugly_deceitful;With a soul as wretched as [GetHerHis] face, we expect nothing but deception and vengeance from [GetHerHim]; lui succède. Avec un esprit aussi vilain que son visage, nous nous attendons à de la tromperie et de la vengeance de sa part;Seele und Gesicht von [GetFirstName] sind gleichermaßen bemitleidenswert, sodass [GetSheHe] zweifelsohne voller Tücke und Rachsucht regieren wird.;;Con una alma tan retorcida como su rostro, de [GetElElla] no esperamos más que engaños y venganzas;;;;;;;;;x
heir_text_traits_varangian;Having served in distant Miklagard, [GetFirstName]'s adventurous spirit is likely to inspire [GetHerHis] subjects; lui succède. Esprit aventureux ayant servi dans la lointaine Miklagård, [GetIlElle] inspirera facilement ses sujets;[GetFirstName] diente schon im fernen Miklagard und kann dank dieser Abenteuerlust sicher die Untertanen anspornen.;;Habiendo servido en la lejana Miklagard, es muy probable que el espíritu aventurero de [GetFirstName] inspire a sus súbditos;;;;;;;;;x
heir_text_traits_wroth;Prone to rage, [GetFirstName]'s enemies and vassals alike are likely to live in fear of [GetHerHim]; lui succède. Enclin[Get_E] à des accès de colère, [GetIlElle] instille la peur chez ses ennemis, tout comme chez ses vassaux;Die häufigen Wutausbrüche von [GetFirstName] werden Feinde wie Vasallen wohl in Furcht leben lassen.;;Con propensión a la ira, tanto enemigos como vasallos de [GetFirstName] [GetRleRla] temerán por igual;;;;;;;;;x
heir_text_traits_wroth_zealous;Blinded by religious fervor, heathens and heretics alike will come to fear [GetHerHis] righteous fury; lui succède. Aveuglé[Get_E] par sa ferveur religieuse, les hérétiques et les infidèles craindront sa fureur vertueuse;Geblendet von religiöser Leidenschaft wird [GetSheHe] Heiden und Ketzern mit rechtschaffenem Zorn das Fürchten lehren.;;Cegad[GetOA] por el fervor religioso, infieles y herejes aprenderán a temer su justa ira;;;;;;;;;x
heir_text_traits_zealous;Spending long hours in prayer as to not upset [Religion.GetHighGodName], we are confident that [GetFirstName]'s reign will be a blessing to the realm; lui succède. Passant des heures à prier afin de ne pas contrarier [Religion.GetHighGodName], son règne sera une bénédiction pour le pays;[GetFirstName] betet täglich stundenlang zu [Religion.GetHighGodName] und bittet um Gnade. [GetSheHeCap] wird mit Sicherheit ein Segen für das Reich sein.;;Al pasar largas horas rezando para no disgustar a [Religion.GetHighGodName], estamos convencidos que el reinado de [GetFirstName] será una bendición para el reino;;;;;;;;;x
heir_text_traits_zealous_charitable;Both pious and generous, the [Religion.GetPriestTitle]s are likely to grow rich under [GetHerHis] rule;, un[Get_E] [GetManWoman] faisant preuve de piété et de générosité, lui succède. Les [Religion.GetPriestTitle]s s'enrichiront probablement durant son règne;[GetSheHeCap] ist fromm und freigiebig, die [Religion.GetPriestTitle]-Gemeinschaft kann sich also auf goldene Zeiten vorbereiten.;;Piados[GetOA] y generos[GetOA], es probable que los [Religion.GetPriestTitle]s se hagan ricos durante su reinado;;;;;;;;;x
heir_text_traits_zealous_paranoid;Seeing the agents of [Religion.GetRandomEvilGodName] around every corner, heretics and heathens alike should beware [GetHerHis] rule; lui succède. Voyant des agents envoyés par [Religion.GetRandomEvilGodName] partout, les hérétiques et les infidèles devraient [GetLeLa] craindre;[GetSheHeCap] sieht an jeder Ecke Anhänger von [Religion.GetRandomEvilGodName]. Ketzer und Heiden sollten sich also in Acht nehmen, wenn [GetSheHe] an die Macht kommt.;;Como ve agentes de [Religion.GetRandomEvilGodName] por todas partes, que herejes e infieles se cuiden de su reinado;;;;;;;;;x
heir_text_tyrant;Already a feared tyrant, the realm trembles before [GetHerHis] rule; lui succède. Redouté[Get_E] pour sa tyrannie, le pays tremble déjà à l'idée de son règne;[GetSheHeCap] ist schon jetzt gefürchtet und tyrannisiert das Volk. Das Reich zittert davor, wenn [GetSheHe] die Herrschaft übernehmen wird.;;Ya era un[GetXA] tiran[GetOA] temid[GetOA], el reino tiembla antes de su reinado;;;;;;;;;x
heir_text_underage;Merely [GetAgeYears] years old, the realm is left in the capable hands of the regent and council;, à peine âgé[Get_E] de [GetAgeYears] ans, lui succède. Le pays est laissé entre les mains d'un régent et du Conseil;Aufgrund des geringen Alters von nur [GetAgeYears] Jahren wird das Reich vom Regenten und dem Rat regiert.;;Con solo [GetAgeYears] años, el reino está en las competentes manos del regente y el consejo;;;;;;;;;x
heir_text_useless;Having no skills with which to keep the realm together, [GetHerHis] rule may be doomed to fail; lui succède. N'ayant pas de compétence qui pourrait maintenir le pays uni, son règne pourrait être voué à l'échec;Da [GetSheHe] über keinerlei Fähigkeiten verfügt, um das Reich zusammenzuhalten, wird [GetSheHe] womöglich an dieser Aufgabe scheitern.;;Al no tener habilidades para mantener unido el reino, su reinado puede estar condenado al fracaso;;;;;;;;;x
heir_text_viking;Having led numerous raids, [GetFirstName]'s name is known and feared across the world; lui succède. Ayant mené plusieurs pillages, son nom est connu et craint à travers le monde;[GetFirstName] hat schon mehrere Raubzüge angeführt und ist deshalb überall bekannt und gefürchtet.;;Habiendo conducido numerosos asaltos, el nombre de [GetFirstName] es conocido y temido a lo largo y ancho del mundo.;;;;;;;;;x
heir_text_weak_and_dumb;Blessed with neither a sharp mind nor a warrior's physique, [GetFirstName]'s rule will surely be arduous; lui succède. Doté[Get_E] ni d'un esprit vif ni d'un physique de guerrier, son règne va sûrement être difficile;[GetFirstName] verfügt weder über einen scharfen Geist noch den Körper eines Kriegers, und wird sich beim Herrschen sicherlich schwertun.;;Sin la bendición de una mente aguda ni el físico de un guerrero, el reinado de [GetFirstName] seguramente sea difícil;;;;;;;;;x
HINT_CLOSE;Close Window;Fermer la fenêtre;Fenster schließen;;Cerrar ventana;;;;;;;;;x
hospital;Hospital;Hôpital;Hospital;;Hospital;;;;;;;;;x
HOSPITAL_AVAILABLE;Meets the prerequisites for building a §YHospital§!;A les prérequis pour pouvoir établir un §Yhôpital§!;Erfüllt die Voraussetzungen für den Bau eines §YHospitals§!;;Me lo pasé bien;;;;;;;;;x
HOSPITAL_BUILDINGS_MODIFIERS;From Hospital buildings: $VALUE$;Des hôpitaux: $VALUE$;Von Krankenhaus-Gebäuden: $VALUE$;;Por Edificios del Hospital: $VALUE$;;;;;;;;;x
HOSPITAL_LEVEL;Hospital Level;Niveau de l'hôpital;Hospitalstufe;;Nivel de hospital;;;;;;;;;x
HOSPITAL_LEVEL_ATLEAST;The §YHospital Level§! in the county is at least $VALUE|Y$;Le §Yniveau d'hôpital§! dans le comté est supérieur à $VALUE|Y$;Die §YHospitalstufe§! in dieser Provinz beträgt mindestens $VALUE|Y$;;El §YNivel de Hospital§! en la provincia es al menos de $VALUE|Y$;;;;;;;;;x
HOSPITAL_LEVEL_LESSTHAN;The §YHospital Level§! in the county is less than $VALUE|Y$;Le §Yniveau d'hôpital§! dans le comté est inférieur à $VALUE|Y$;Die §YHospitalstufe§! in dieser Provinz beträgt weniger als $VALUE|Y$;;El §YNivel de Hospital§! en la provincia es menos de $VALUE|Y$;;;;;;;;;x
HOSPITAL_LEVEL_TOOLTIP;Level $LEVEL|Y$;Niveau $LEVEL|Y$;Stufe $LEVEL|Y$;;Nivel $LEVEL|Y$;;;;;;;;;x
HOSPITAL_LEVY_SIZE;Hospital Levy Size;Taille des troupes des hôpitaux;Abgabenhöhe des Hospitals;;Tamaño de leva de hospital;;;;;;;;;x
HOSPITAL_NOT_YET_AVAILABLE;Hospital technology is available, or the Knights Hospitalier are present in the county;La technologie est disponible, ou les Hospitaliers sont présents dans le comté;Hospitaltechnologie ist verfügbar, oder die Johanniter sind in dieser Provinz etabliert.;;La tecnología de Hospital está disponible o los Caballeros Hospitalarios están presentes en la provincia;;;;;;;;;x
HOSPITAL_PROV;Hospital of $PROV$;Hôpital de $PROV$;Hospital von $PROV$;;Hospital de $PROV$;;;;;;;;;x
HOSPITAL_TAX_MODIFIER;Hospital Tax;Impôt hospitalier;Hospitalsteuer;;Impuesto de hospital;;;;;;;;;x
HOSPITALS_INTERFACE_LABEL;§YHospitals§!;§YHôpitaux§!;§YHospitäler§!;;§YHospitales§!;;;;;;;;;x
HUNDRED_YEAR;Hundred Years;Cent ans;Hundert Jahre;;Cien años;;;;;;;x
hunting_dead;Hunting the Dead;Chasse aux morts-vivants;Jagd auf die Toten;;Cazando a los muertos;;;;;;;;;x
IDLE;Idle;§GAttend nos ordres§!;Untätig;;holgazán;;;;;;;;;x
immortal;Immortal;Immortalité;Unsterblich;;Inmortal.;;;;;;;;;x
immortal_desc;This character has achieved eternal life and will never succumb to the ravages of old age. The character is not invincible though, physical injury will still hurt them.;Ce personnage a obtenu la vie éternelle et ne mourra pas de vieillesse. Ceci étant, il n'est pas invincible puisque les blessures physiques peuvent quand même l'atteindre.;Diese Person hat Unsterblichkeit erlangt und wird niemals den Gebrechen des Alters erliegen. Unverwundbar ist sie allerdings nicht. Verletzungen haben den normalen Effekt.;;Este personaje ha conseguido la vida eterna y jamás sucumbirá a los estragos de la edad. Pero no es invencible, los daños físicos aún pueden herirle.;;;;;;;;;x
IN_SECLUSION;Is in Seclusion;Est en réclusion;Befindet sich in Klausur;;Está en reclusión;;;;;;;;;x
in_seclusion;Secluded with Courtiers;Vit en réclusion avec ses courtisans;Mit Höflingen in Klausur;;Recluido con cortesanos;;;;;;;;;x
inattentive_soldier;Inattentive Soldier;Soldat inattentif;Unaufmerksamer Soldat;;Soldado distraído.;;;;;;;;;x
inattentive_soldier_desc;This warrior should pay closer attention.;Cette guerrière devrait être plus attentive.;Dieser Soldat sollte besser aufpassen.;;Este guerrero debe prestar más atención.;;;;;;;;;x
INCREASE_CAMPAIGN_FUND;Increase campaign funds;Augmenter le fonds de campagne;Wahlkampffonds erhöhen;;Aumentar fondos de campaña;;;;;;;x
increase_prosperity_custom_tooltip;The §YProsperity§! of the county increases slightly\n;La §Yprospérité§! du comté augmente légèrement\n;Der §YWohlstand§! der Grafschaft steigt leicht an.\n;;La §Yprosperidad§! del condado aumenta ligeramente\n;;;;;;;;;x
increase_prosperity_event_custom_tooltip;The §YProsperity§! of §Y[prosperity_target.GetName]§! increases!;La §Yprospérité§! de §Y[prosperity_target.GetName]§! augmente !;Der §YWohlstand§! von §Y[prosperity_target.GetName]§! steigt an!;;¡La §YProsperidad§! de §Y[prosperity_target.GetName]§! aumenta!;;;;;;;;;x
INFAMY_DECAY_MONTHS;At this rate it will take $MONTHS|Y$ months to decay to §Y0%§!;À ce rythme, cela prendra $MONTHS|Y$ mois pour être à §Y0%§!.;Bei aktueller Geschwindigkeit dauert es $MONTHS|Y$ Monate, bis der Infamiewert 0 erreicht.;;A este ritmo tardará $MONTHS|Y$ meses en decaer hasta 0.;;;;;;;;;x
infection;Infection;Infection;Infektion;;Infección.;;;;;;;;;x
infection_death;of an infected wound;d'une blessure infectée;an einer entzündeten Wunde;;de una herida infectada;;;;;;;;;x
infection_desc;This character has an infection - it looks and smells bad, but it feels even worse.;Ce personnage a une infection. Ce n'est pas beau à voir et cela sent mauvais, mais il se sent encore plus mal que ça en a l'air.;Diese Person leidet an einer Infektion. Es sieht übel aus und riecht auch so, aber die Schmerzen sind noch schlimmer.;;Este personaje tiene una infección, parece y huele mal, pero se siente aún peor.;;;;;;;;;x
inspired_peasantry;Inspired Peasantry;Paysannerie inspirée;Angespornte Bauern;;Campesinado inspirado;;;;;;;;;x
inspired_warriors;Inspired Warriors;Guerriers inspirés;Inspirierte Krieger;;Guerreros inspirados;;;;;;;;;x
intelligent_steward;Economic Innovations;Innovations économiques;Wirtschaftliche Innovationen;;Innovaciones económicas;;;;;;;;;x
interfere_in_vassal_war_attacker;End Vassal War;Mettre fin à la guerre du vassal;Vasallen-Krieg beenden;;Terminar la guerra de vasallos;;;;;;;;;x
interfere_in_vassal_war_attacker_desc;Demand that §Y[This.GetTitledName]§! end the §Y[FromFrom.GetName]§! against §Y[FromFrom.Defender.GetTitledName]§! and accept a White Peace. [This.GetSubjectPronounCap] might refuse or ask for something in return...;Exiger que [This.Get_le_TitledNameJ] mette fin à la §Y[FromFrom.GetName]§! contre [FromFrom.Defender.Get_le_TitledNameJ] et accepte de signer une paix blanche. [This.GetIlElleCap] pourrait refuser ou demander quelque chose en échange...;Verlangt, dass §Y[This.GetTitledName]§! den Krieg (§Y[FromFrom.GetName]§!) gegen §Y[FromFrom.Defender.GetTitledName]§! beendet und einen Weißen Frieden akzeptiert. [This.GetSubjectPronounCap] wird eventuell ablehnen oder eine Gegenleistung verlangen ...;;Exige que §Y[This.GetTitledName]§! termine su §Y[FromFrom.GetName]§! contra §Y[FromFrom.Defender.GetTitledName]§! y acepte una paz blanca. [This.GetSubjectPronounCap] podría negarse o pedir algo a cambio…;;;;;;;;;x
interfere_in_vassal_war_attacker_named;Peace with [FromFrom.Defender.PrimaryTitle.GetName];Paix avec [FromFrom.Defender.PrimaryTitle.Get_le_Realm];Fordert Weißen Frieden;;Paz con [FromFrom.Defender.PrimaryTitle.GetName];;;;;;;;;x
interfere_in_vassal_war_attacker_use_favor;End Vassal War;Mettre fin à la guerre du vassal;Vasallen-Krieg beenden;;Terminar la guerra de vasallos;;;;;;;;;x
interfere_in_vassal_war_attacker_use_favor_desc;Demand that §Y[This.GetTitledName]§! end the §Y[FromFrom.GetName]§! against §Y[FromFrom.Defender.GetTitledName]§! and accept a White Peace.;Exiger que [This.Get_le_TitledNameJ] mette fin à la §Y[FromFrom.GetName]§! contre [FromFrom.Defender.Get_le_TitledNameJ] et accepte de signer une paix blanche.;Verlangt, dass §Y[This.GetTitledName]§! den Krieg (§Y[FromFrom.GetName]§!) gegen §Y[FromFrom.Defender.GetTitledName]§! beendet und einen Weißen Frieden akzeptiert.;;Exige que §Y[This.GetTitledName]§! termine §Y[FromFrom.GetName]§! contra §Y[FromFrom.Defender.GetTitledName]§! y acepte una paz blanca.;;;;;;;;;x
interfere_in_vassal_war_attacker_use_favor_named;End War with [FromFrom.Defender.GetTitledFirstName];Mettre fin à la guerre contre [FromFrom.Defender.Get_le_TitledFirstName];Beendet den Krieg mit [FromFrom.Defender.GetTitledFirstName];;Terminar la guerra con [FromFrom.Defender.GetTitledFirstName];;;;;;;;;x
interfere_in_vassal_war_defender;Surrender in Vassal War;Capituler dans une guerre d'un vassal;Kapituliert im Vasallenkrieg;;Rendición en Guerra de vasallos;;;;;;;;;x
interfere_in_vassal_war_defender_desc;Demand that §Y[This.GetTitledName]§! surrender in the §Y[FromFrom.GetName]§! against §Y[FromFrom.Attacker.GetTitledName]§!. [This.GetSubjectPronounCap] might refuse or ask for something in return...;Demander que [This.Get_le_TitledNameJ] capitule dans la §Y[FromFrom.GetName]§! contre [FromFrom.Attacker.Get_le_TitledNameJ]. [This.GetIlElleCap] pourrait refuser ou demander quelque chose en échange...;Verlangt, dass §Y[This.GetTitledName]§! im Krieg (§Y[FromFrom.GetName]§!) gegen §Y[FromFrom.Attacker.GetTitledName]§! kapituliert. [This.GetSubjectPronounCap] wird eventuell ablehnen oder eine Gegenleistung verlangen ...;;Exige que §Y[This.GetTitledName]§! renuncie al §Y[FromFrom.GetName]§! contra §Y[FromFrom.Attacker.GetTitledName]§!. [This.GetSubjectPronounCap] podría negarse o pedir algo a cambio…;;;;;;;;;x
interfere_in_vassal_war_defender_named;Surrender to [FromFrom.Attacker.PrimaryTitle.GetName];Capituler face à [FromFrom.Attacker.PrimaryTitle.GetName];Kapituliert unter [FromFrom.Attacker.PrimaryTitle.GetName];;Exigir la rendición a [FromFrom.Attacker.PrimaryTitle.GetName];;;;;;;;;x
interfere_in_vassal_war_defender_use_favor;Surrender in Vassal War;Capituler dans une guerre d'un vassal;Kapituliert im Vasallenkrieg;;Rendición en Guerra de vasallos;;;;;;;;;x
interfere_in_vassal_war_defender_use_favor_desc;Demand that §Y[This.GetTitledName]§! surrender in the §Y[FromFrom.GetName]§! against §Y[FromFrom.Attacker.GetTitledName]§!, calling in the Favor [This.GetSubjectPronoun] owes you.;Demander [This.Get_au_TitledNameJ] de capituler dans la §Y[FromFrom.GetName]§! contre [FromFrom.Attacker.Get_le_TitledNameJ], en échange de la faveur qu'[This.GetIlElle] vous doit.;Verlangt, dass §Y[This.GetTitledName]§! im Krieg (§Y[FromFrom.GetName]§!) gegen §Y[FromFrom.Attacker.GetTitledName]§! kapituliert, indem Ihr einen offenen Gefallen einfordert.;;Exige que §Y[This.GetTitledName]§! renuncia al §Y[FromFrom.GetName]§! contra §Y[FromFrom.Attacker.GetTitledName]§!, reclamando el favor que te debe.;;;;;;;;;x
interfere_in_vassal_war_defender_use_favor_named;Surrender to [FromFrom.Attacker.PrimaryTitle.GetName];Capituler face à [FromFrom.Attacker.PrimaryTitle.GetName];Kapituliert unter [FromFrom.Attacker.PrimaryTitle.GetName];;Rendirse a [FromFrom.Attacker.PrimaryTitle.GetName];;;;;;;;;x
invigorated;Invigorated;A retrouvé son énergie;Voller Leben;;Fortalecido;;;;;;;;;x
iron_hand;Iron Hand;Main de fer;Eiserne Hand;;Mano de hierro;;;;;;;x
iron_hand_desc;This character possesses a mechanical prosthetic hand made of iron.;Ce personnage a une main mécanique fabriquée avec du fer.;Dieser Charakter hat eine mechanische Handprothese aus Eisen.;;Este personaje tiene una mano mecánica protésica hecha de hierro.;;;;;;;x
is_at_home_tooltip;Is at Home Court\n;Est à la Cour\n;Ist am heimatlichen Hof\n;;Está en la casa, en la corte\n;;;;;;;;;x
