EVTDESC_SoA_5028;Sleeping at the pilgrim's inn, you dream a beautiful dream. You are walking through a dense wood, filled with the wonderful sounds and smells of nature. Little squirrels run across your path and birds sing in the trees. You keep walking through the wood, and then you notice a new and strange but familiar smell. You can't quite put your finger on what it is, though. Hmm, it's something you should know, something important... Hmm... yes, it's... it's... it's fire! You are instantly wide awake. The room is hot, you can hear the sound of crackling flames and a moment later you also hear people screaming. Indeed, the inn is on fire!;Endormi[Root.Get_E] à l'auberge des pèlerins, vous faites un rêve magnifique. Vous marchez dans une forêt dense et remplie des bruits et des senteurs de la nature. De petits écureuils courent devant vous et des oiseaux chantent dans les arbres. Vous continuez à marcher quand vous remarquez une odeur nouvelle, à la fois étrange et familière. Vous ne parvenez cependant pas à l'identifier. Hmm... Pourtant, vous la connaissez, cette odeur, vous la connaissez même bien... Hmm... oui, c'est... c'est... le feu ! Vous vous réveillez instantanément. On étouffe dans la chambre, vous entendez le bruit des flammes qui crépitent et, un instant plus tard, les cris des gens qui hurlent. L'auberge est en feu !;Ihr schlaft in einer Herberge und habt einen schönen Traum. Ihr wandelt durch einen dichten Wald und genießt die Klänge und Düfte der Natur. Eichhörnchen hüpfen vor Euch auf dem Weg, Vögel singen in den Bäumen. Ihr geht weiter und plötzlich nehmt Ihr einen neuen, aber bekannten Geruch wahr. Was ist das bloß? Ja, doch... das ist Rauch! Sofort seid Ihr hellwach. Es ist heiß im Zimmer, Ihr hört das Prasseln der Flammen und gleich darauf schreiende Menschen. Die Herberge brennt!;;Mientras duermes en el albergue de los peregrinos, tienes un bonito sueño. Caminas por un bosque frondoso, lleno de los maravillosos sonidos y aromas de la naturaleza. Unas pequeñas ardillas se cruzan en tu camino y los pájaros cantan en lo alto de los árboles. Sigues caminando por el bosque cuando notas un olor nuevo y extraño, pero familiar. Sin embargo, no puedes determinar qué es. Mmm, es algo que deberías identificar, algo importante... Mmm... sí, es... es... ¡fuego! Te despiertas al instante. En la habitación hace calor, puedes oír el crepitar de las llamas y, un momento después, oyes también gritos. ¡El albergue está en llamas!;;;;;;;;;x
EVTDESC_SoA_5029;They said this was a lawless stretch of road, but you still feel rather unlucky to be in this situation. The robbers are many and armed, and they demand that you pay a 'toll' before you are allowed to pass.;On vous avait bien dit que cette route était dangereuse, mais vous estimez néanmoins jouer de malchance. Les malandrins sont nombreux et armés, et ils vous demandent de vous acquitter d'un « droit de passage ».;Ihr wusstet, dass diese Straße gefährlich ist, dennoch fühlt Ihr Euch jetzt vom Glück verlassen. Ihr seid von bewaffneten Räubern umzingelt und die verlangen Wegezoll, bevor Ihr weitergehen dürft. ;;"Te dijeron que era un tramo de carretera sin ley, pero aun así crees que has tenido bastante mala suerte de verte en esta situación. Los ladrones son muchos y van armados. Te exigen que les pagues un ""peaje"" para continuar el camino.";;;;;;;;;x
EVTDESC_SoA_5030;The old wooden bridge has carried many pilgrims in its day. It creaks suspiciously as you step on it.;Le vieux pont de bois a vu passer de nombreux pèlerins jusqu'à aujourd'hui. Mais lorsque vous posez le pied dessus, il émet un craquement inquiétant.;Über die alte Holzbrücke sind schon viele Pilger gezogen. Beim Betreten knarzt sie verdächtig.;;El viejo puente de madera ha soportado ya a numerosos peregrinos. A medida que caminas sobre él, cruje de forma sospechosa.;;;;;;;;;x
EVTDESC_SoA_5031;You lay awake at night reflecting on your pilgrimage. It's an inner journey as well as a physical one, but can you be sure of which destination it will take you to? And do you even want to have that certainty?;Allongé[Root.Get_E] dans l'herbe cette nuit-là, vous réfléchissez à votre pèlerinage. C'est un voyage dans le monde, mais aussi un voyage intérieur. Mais en connaissez-vous la destination avec certitude ? Cette certitude vous importe-t-elle ?;Ihr liegt nachts wach und denkt über Eure Pilgerreise nach. Es ist eine seelische Pilgerreise ebenso wie eine körperliche, aber wisst Ihr wirklich, wohin diese Reise letztlich führt? Und wollt Ihr diese Gewissheit haben? ;;Te despiertas en mitad de la noche reflexionando sobre la peregrinación. Es un viaje interior, además de físico, pero ¿estás seguro del destino al que te llevará? ¿Acaso quieres saberlo?;;;;;;;;;x
EVTDESC_SoA_5032;Travelling down a long and lonesome road, you come upon a man lying in a ditch. He seems to have been robbed and beaten up quite badly.;Alors que vous empruntez une longue route désolée, vous croisez un homme allongé sur le bas-côté. Il semble avoir été détroussé et battu fort cruellement.;Ihr seid auf einer langen, einsamen Straße unterwegs. Plötzlich liegt vor Euch ein Mann im Straßengraben. Er ist offenbar ausgeraubt und übel zusammengeschlagen worden. ;;Viajando por un camino largo y solitario, te encuentra con un hombre tirado en la cuneta. Parece que le han robado y golpeado terriblemente.;;;;;;;;;x
EVTDESC_SoA_5033;There have been strong rains in the area lately, and the valley that you need to cross has been transformed into a sizeable lake. The water is still rising, so you start to build a large raft in order to cross. When you're almost finished building it, a group of farmers show up and explain that they also need to cross the valley in order to get back to their homes. They bring with them a number of animals that they've rescued from the flood.;La région a connu de fortes pluies dernièrement et la vallée que vous devez traverser est désormais un grand lac. Les eaux montent toujours et vous commencez à construire un grand radeau afin de traverser. Alors que vous avez quasiment terminé, des paysans se présentent et vous expliquent qu'ils doivent eux aussi traverser la vallée pour rentrer chez eux. Ils ont avec eux un bon nombre d'animaux qu'ils ont sauvés de l'inondation.;Es hat in den letzten Tagen stark geregnet, und das Tal, das Ihr durchqueren müsst, hat sich in einen See verwandelt. Das Wasser steigt weiter, und Ihr fangt an, ein Floß zu bauen, um hinüber zu kommen. Als Ihr fast fertig seid, erscheinen ein paar Bauern und erklären, dass sie auch ans andere Ufer müssen, um nach Hause zu kommen. Sie haben Tiere bei sich, die sie vor den Fluten gerettet haben. ;;Ha habido fuertes lluvias en la zona últimamente y el valle que debes cruzar se ha transformado en un lago de tamaño considerable. Las aguas siguen creciendo, así que empiezas a construir una gran balsa para cruzar. Cuando ya casi la has terminado, aparece un grupo de granjeros diciendo que también tienen que cruzar el valle para poder regresar a su hogar. Con ellos llevan una serie de animales que han rescatado de la inundación.;;;;;;;;;x
EVTDESC_SoA_5034;At your camp at night, a large group of fellow pilgrims appear. They have travelled far and are hungry and out of food. You look through your supplies, but you have only just over half a dozen loaves of bread and a few fishes.;Au camp cette nuit-là, un important groupe de pèlerins se présente. Ils voyagent depuis longtemps, n'ont plus rien à manger et sont affamés. Dans vos provisions, vous n'avez qu'une demi-douzaine de miches de pain et quelques poissons.;Abends erscheint an Eurem Lagerplatz eine größere Pilgergruppe. Die Leute sind weit gewandert, haben Hunger und nichts zu essen. Ihr schaut in Eure Vorräte, aber Ihr habt nur ein halbes Dutzend Brotlaibe und ein paar Fische dabei.;;De noche aparece en el campamento un gran grupo de peregrinos. Vienen desde lejos, tienen hambre y no les quedan alimentos. Echas un vistazo a tus provisiones, pero solo te quedan media docena de rebanadas de pan y algo de pescado.;;;;;;;;;x
EVTDESC_SoA_5035;You have spent the last fews days of your journey on water. The vessel you are travelling on rocks gently in the breeze, as the sailors go about their business. Being on board ship is quite unlike being on land – so much is different, so many strange words for all the things here. Starboard? Abaft? Aground? What does it all mean?;Vous avez passé ces derniers jours en mer. Le navire sur lequel vous voyagez se balance doucement au gré du vent et les marins sont à l'ouvrage.\nEn mer, tout est très différent. Tant de mots étranges. Bâbord ? Poupe ? Échouer ? Quel étrange lexique...;Ihr habt die letzten paar Tage Eurer Reise auf einem Schiff verbracht. Es schaukelt sanft in der Brise, die Seeleute gehen ihrer Arbeit nach. An Bord eines Schiffes zu sein ist ganz anders als an Land - so viele fremde Dinge, so viele unbekannte Begriffe. Steuerbord? Achtern? Querab? Was bedeutet das alles? ;;Has pasado los últimos días del viaje en el mar. El barco en el que navegas se desplaza suavemente con la brisa, mientras los marineros se dedican a sus actividades. Estar a bordo es muy diferente a estar en tierra. Hay tantas palabras extrañas para llamar a las cosas. ¿Estribor? ¿Popa? ¿Varado? ¿Qué significa todo esto?;;;;;;;;;x
EVTDESC_SoA_5036;As you stop to make camp near a river crossing along with other pilgrims, you observe a group of builders working on a new bridge just upstream. You walk up to them and see that the arches of the bridge are already half completed. The master builder notices your interest and walks up to you and offers to tell you about the construction techniques they are using.;Alors que vous faites halte près d'un gué en compagnie d'autres pèlerins, vous remarquez un groupe de bâtisseurs à l'oeuvre sur un nouveau pont en amont. Vous vous rendez jusqu'à eux et constatez que les arches du pont sont déjà à moitié terminées. Le maître d'oeuvre remarque votre intérêt et vous propose de vous expliquer les techniques de construction utilisées.;Ihr macht mit anderen Pilgern zusammen Rast an einer Flussquerung. Ein Stück stromaufwärts wird eine neue Brücke gebaut. Ihr geht zu den Arbeitern hin und seht, dass die Bögen schon halb fertig sind. Der Baumeister bemerkt Euer Interesse, kommt zu Euch und bietet an, die Bauweise zu erklären.;;Te paras a acampar cerca de un vado junto con otros peregrinos cuando observas a un grupo de obreros que trabajan en la construcción de un nuevo puente río arriba. Te aproximas y ves que los arcos del puente ya están medio terminados. El maestro de obras se percata de tu interés y se acerca a ti para hablarte sobre las técnicas de construcción que están utilizando.;;;;;;;;;x
EVTDESC_SoA_5037;The journey is long and hard. Your feet are sore, and your back as well. Far from the castle kitchens the food is barely edible, and on top of that you seem to feel cold all the time. Perhaps you were not quite cut out for this pilgrimage thing?;Le voyage est long et rude. Vos pieds vous font mal et votre dos ne se porte guère mieux. Les cuisines de votre château sont bien loin désormais et la nourriture ici est à peine comestible. De plus, vous avez constamment froid. Se pourrait-il que les pèlerinages ne soient pas votre fort ?;Die Reise ist lang und anstrengend. Füße und Rücken schmerzen furchtbar. Abseits der Schlossküchen ist das Essen kaum genießbar und außerdem ist Euch ständig kalt. Vielleicht ist diese Pilgerreise doch nichts für Euch? ;;El viaje es largo y difícil. Te duele la espalda y los pies. Lejos de las cocinas del castillo, la comida apenas es comestible y, además, tienes un frío continuo. ¿Tal vez peregrinar no sea lo tuyo?;;;;;;;;;x
EVTDESC_SoA_5038;As you pass through a small village along the pilgrim's path, an old woman comes up to you. She has recognized you as a pilgrim and explains that her daughter and her family live close to your destination. They are suffering hard times and she asks you to bring them a large purse of money.;Alors que vous traversez un petit village sur votre route, une vieille femme s'approche de vous. Elle a reconnu en vous le pèlerin et vous explique que sa fille et sa famille vivent non loin de votre destination. Les temps sont durs pour eux et elle vous demande de leur apporter une bourse remplie de pièces.;Auf dem Pilgerpfad geht Ihr durch ein kleines Dorf. Eine alte Frau kommt auf Euch zu. Sie hat Euch als Pilger erkannt und erklärt, dass ihre Tochter und ihre Familie nahe bei Eurem Ziel leben. Die Familie ist arm, und die Frau bittet Euch, ihr eine Geldbörse mit einem größeren Betrag zu überbringen.;;Al atravesar una pequeña aldea en el camino de peregrinación, se te acerca una anciana. Te ha identificado como peregrino y te explica que su hija y su familia viven cerca de tu destino. Están pasando tiempos difíciles, por lo que te pide que les lleves una gran cartera con dinero.;;;;;;;;;x
EVTDESC_SoA_5039;There is a star shining unusually bright in the clear sky. You see it every night, and its position coincides more or less with the direction to the destination of your pilgrimage.;Vous remarquez une étoile exceptionnellement brillante dans le ciel dégagé. Vous la voyez toutes les nuits et sa position correspond plus ou moins au but de votre pèlerinage.;Ein Stern leuchtet ungewöhnlich hell am klaren Himmel. Ihr seht ihn jede Nacht, etwa in der Richtung, in der auch Euer Pilgerziel liegt.;;Una estrella brilla con un resplandor especial en el cielo despejado. La ves cada noche, y su posición coincide más o menos con la dirección en la cual peregrinas.;;;;;;;;;x
EVTDESC_SoA_5045;Thundering hooves are heard down the road. The pilgrims look with apprehension at the rising dust cloud. As the riders close, steel armour and steel-tipped lances reflect the bright sunlight. The tension rises, but then a collective sigh of relief is heard as the banner of the holy knights is seen flying above the mass of armored men. The knights halt before the pilgrims and graciously offer to accompany you on the road.;Vous entendez un bruit de sabots plus loin sur la route. Les pèlerins observent avec appréhension les nuages de poussière qui s'élèvent dans le ciel. Alors que les cavaliers se rapprochent, vous voyez le soleil se refléter sur leurs armures et sur leurs lances acérées. La tension monte mais retombe soudain lorsque vous voyez la bannière des chevaliers saints flottant au-dessus du groupe d'hommes en armures. Les chevaliers s'arrêtent devant les pèlerins et vous proposent gracieusement de vous escorter.;Der Donner von Hufen dröhnt über die Straße. Die Pilger blicken angespannt auf die sich nähernde Staubwolke. Als die Reiter zu erkennen sind, blitzt die Sonne auf ihren Rüstungen und stählernen Lanzenspitzen. Die Spannung steigt und löst sich schließlich in Erleichterung auf, als über den Rüstungen die Fahne der Heiligen Ritter zu erkennen ist. Die Reiter machen Halt und bieten an, die Pilger ein Stück zu begleiten.;;Se oyen cascos que resuenan en la distancia. Los peregrinos miran con aprensión la creciente nube de polvo. A medida que se acercan los jinetes, sus armaduras de acero y sus lanzas con punta de metal reflejan la brillante luz del sol. Aumenta la tensión y luego se escucha un suspiro colectivo de alivio. Sobre la masa de hombres armados se distingue el estandarte de los santos caballeros. Los jinetes se detienen ante los peregrinos y se ofrecen con gentileza a acompañarte en el camino.;;;;;;;;;x
EVTDESC_SoA_5046;As the evening approaches after a long day on the road, you come upon several campfires. Around the fires you find a group of holy knights, resting after a long day's ride. They invite you to share their meal and trade stories.;Alors que le soir tombe après une longue journée de route, vous remarquez plusieurs feux de camps. Autour d'eux, des chevaliers saints qui se reposent après une longue journée à cheval. Ils vous invitent à partager leur repas et à entamer la discussion.;Am Abend eines langen Tages auf dem Pilgerpfad gelangt Ihr zu mehreren Lagerfeuern. An den Feuern lagern Heilige Ritter, die sich von ihrem Ritt ausruhen. Sie laden Euch zum Essen und zum Geschichtenaustausch ein.;;Cuando cae la noche tras un largo día de camino, te encuentras con varias fogatas. Alrededor de las hogueras ves a un grupo de santos caballeros, que descansan de su viaje. Te invitan a compartir su comida y a contar historias.;;;;;;;;;x
EVTDESC_SoA_5047;During the last couple of days, you have made company on the road with a holy knight on his way to the same destination. You have lively and interesting conversations, and you find that you have many things in common.;Pendant les deux jours précédents, vous avez voyagé avec un chevalier saint qui se rendait à la même destination que vous. Vous avez eu avec lui des discussions stimulantes et intéressantes, et vous constatez que vous avez de nombreuses choses en commun.;Die letzten paar Tage wart Ihr mit einem Heiligen Ritter gemeinsam unterwegs zum gleichen Ziel. Ihr führt lebhafte und anregende Gespräche und stellt fest, dass Ihr vieles mit ihm gemein habt. ;;Durante los últimos días, has hecho camino junto a un santo caballero que viaja hacia el mismo destino. Con él mantienes conversaciones animadas e interesantes, y descubres que ambos tenéis muchas cosas en común.;;;;;;;;;x
EVTDESC_SoA_5050;You have finally arrived at Canterbury! It is beautifully situated on the river Stour in Kent in southeast England. The town itself and the surrounding meadows are full of pilgrims from all over Europe. You start to make your way through the hustle and bustle, eager to see the famous cathedral and contemplate the tomb of the martyr Thomas Becket, who was viciously murdered inside the cathedral itself.;Vous voici enfin à Cantorbéry ! Une belle cité sur le fleuve Stour dans le Kent, dans le sud-est de l'Angleterre. La ville elle-même et les plaines environnantes sont pleines de pèlerins venus de toute l'Europe. Vous vous frayez un chemin à travers la foule, désireux de voir la célèbre cathédrale et de vous recueillir devant le tombeau du martyr Thomas Becket, cruellement assassiné dans la cathédrale.;Endlich erreicht Ihr Canterbury! Der Ort, der in schönster Gegend am Fluss Stour in Kent im Südosten Englands gelegen ist, erlebt gerade einen Ansturm von Pilgern aus allen Teilen Europas. Ihr stürzt Euch ins Gedränge und nehmt Kurs auf die berühmte Kathedrale sowie auf das Grab des Märtyrers Thomas Becket, der im Inneren der Kathedrale heimtückisch ermordet wurde.;;¡Por fin habéis llegado a Canterbury! Os encontráis en un enclave precioso, el río Stour, en Kent, en el sudeste de Inglaterra. La propia ciudad y los prados que la rodean están llenos de peregrinos procedentes de toda Europa. Emprendéis vuestro camino a través del vaivén, deseando ver la famosa catedral y contemplar la tumba del mártir Tomás Becket, brutalmente asesinado dentro de la propia catedral.;;;;;;;;;x
EVTDESC_SoA_5051;You have finally arrived at Jerusalem! Passing by the Mount of Olives, you enter through the city gate and are immediately overcome by a feeling of having made a truly epic journey. The city is filled with people of all creeds and colors, the air heavy with smells of strange spices and foreign plants. You make your way through the throng of people and animals, excited by the knowledge that you are now close to the Via Dolorosa and the other holy places. You plan to also visit the Church of the Nativity in Bethlehem, but first of all you need to find someplace to stay. After all, you wouldn't want to be forced to sleep in a stable, would you?;Vous voici enfin à Jérusalem ! Après le mont des Oliviers, vous passez la porte de la ville et immédiatement la sensation vous envahit : vous venez d'accomplir un voyage épique. La ville est remplie de gens de toutes religions et de toutes origines, l'air est chargé d'odeurs d'épices étranges et de plantes inconnues. Vous vous frayez un chemin à travers la foule et les animaux, enthousiaste à l'idée que vous êtes si proche de la Via Dolorosa et des autres lieux saints. Vous projetez également de visiter l'église de la Nativité à Bethléem, mais tout d'abord il vous faut trouver un endroit où vous reposer. Vous ne voudriez quand même pas dormir dans une étable !;Endlich erreicht Ihr Jerusalem! Als Ihr, den Ölberg hinter Euch lassend, das Stadttor durchschreitet, wird Euch schlagartig bewusst, welch herausragende Bedeutung diese Reise für Euch haben wird. Die Stadt bietet ein buntes Bild aus Menschen der verschiedensten Konfessionen und Hautfarben und die Luft ist erfüllt vom Aroma fremdartiger Gewürze und exotischer Pflanzen. Ihr bahnt Euch einen Weg durch das Gedränge und das Gefühl, der Via Dolorosa und anderen heiligen Orten so nahe zu sein, erfüllt Euch mit gespannter Aufmerksamkeit. Auch nach Bethlehem, zur Geburtsstätte Jesu, wollt Ihr Euch in naher Zukunft aufmachen, doch zuerst benötigt Ihr eine Unterkunft. Denn in einem Stall schlafen, das möchtet Ihr sicherlich nicht, oder?;;¡Por fin habéis llegado a Jerusalén! Pasando el Monte de los Olivos, atravesáis la puerta de la ciudad e inmediatamente os invade el sentimiento de haber realizado un viaje realmente épico. La ciudad está llena de gente de todos los credos y colores, y el aire está cargado de olores de especias y plantas extrañas. Os abrís camino entre la muchedumbre de personas y animales, entusiasmado sabiéndoos cerca de la Vía Dolorosa y otros lugares sagrados. También habéis previsto visitar la Basílica de la Natividad en Belén, pero antes tenéis que encontrar un sitio donde alojaros. Después de todo, no querréis acabar durmiendo en un establo, ¿verdad?;;;;;;;;;x
EVTDESC_SoA_5052;You have finally arrived at Köln! The mighty cathedral housing the relics of the Three Kings is still under construction, but it is an impressive structure nonetheless. The city itself lies on the mighty river Rhine, and busy commerce mingles with the flow of pilgrims.;Vous voici enfin à Cologne ! La grande cathédrale qui abrite les reliques des trois rois mages est encore en construction, mais ce n'en est pas moins une structure impressionnante. La ville elle-même est construite sur le Rhin et une importante activité commerciale se mêle au flot des pèlerins.;Endlich erreicht Ihr Köln! Auch wenn die Arbeiten am mächtigen Dom, in dem sich die Reliquien der Heiligen Drei Könige befinden, noch andauern, bietet sich Euch ein beeindruckendes Bild des imposanten Bauwerks. Die Straßen der Metropole am Rhein werden belebt vom geschäftigen Treiben der Pilger und Händler.;;¡Por fin habéis llegado a Colonia! La inmensa catedral que alberga las reliquias de los Reyes Magos sigue en construcción, pero no por ello deja de ser una estructura impresionante. La propia ciudad se encuentra en el enorme río Rin y el ajetreado comercio se entremezcla con el flujo de peregrinos.;;;;;;;;;x
EVTDESC_SoA_5053;You have finally arrived at Rome! As you enter the Eternal City, you are struck by the many ancient buildings and monuments that you pass by. It is truly impressive, and you try to imagine how the apostles felt when they first came here on their holy mission at a time when the city's power was at its peak. Though large areas seem to be depopulated, the city still boasts an impressive population concentrated around the Tiber river. The holy sites you want to visit are primarily the basilicas of Saint Peter and Saint Paul, as well as other early churches and places connected to the martyrs. You start making your way to the center of the city, hoping that you won't get lost in traffic as the crowds start to get more dense.;Vous voici enfin à Rome ! Alors que vous entrez dans la ville éternelle, vous êtes frappé par le nombre de bâtiments et de monuments anciens que vous voyez. Cela fait sur vous une forte impression et vous tentez d'imaginer ce qu'ont pu ressentir les apôtres lorsqu'ils sont arrivés ici la première fois pour accomplir leur mission, à une époque où la cité était au faîte de sa puissance. Aujourd'hui, d'importants quartiers semblent dépeuplés mais la ville regroupe tout de même une importante population concentrée autour du Tibre. Les sites sacrés que vous voulez visiter sont notamment les basiliques Saint-Pierre et Saint-Paul, ainsi que d'autres églises primitives et des lieux associés aux martyrs. Vous vous frayez un chemin jusqu'au centre de la ville, espérant ne pas vous perdre alors que la foule autour de vous devient de plus en plus dense.;Endlich erreicht Ihr Rom! Schon kurz nachdem Ihr die Ewige Stadt betretet, seid Ihr tief beeindruckt von der Vielzahl antiker Gebäude und Denkmäler. Ihr versucht Euch auszumalen, wie diese Ehrfurcht gebietende Stadt zu ihrer Blütezeit wohl auf die Apostel gewirkt haben mag, als diese vor langer Zeit in heiliger Mission hierher kamen. Auch wenn weite Teile der Stadt nicht mehr bewohnt sind, so wohnen doch noch immer viele Menschen in der Stadt, vor allem an den Ufern des Tibers. Besonders die Basilika St. Paul und den Petersdom möchtet Ihr besichtigen, doch auch die anderen frühchristlichen Kirchen und die Plätze der Märtyrer möchtet Ihr sehen. So lasst Ihr Euch vom Strom der Menschen in Richtung des Zentrums tragen und hofft, dass Ihr den richtigen Weg finden werdet.;;¡Por fin habéis llegado a Roma! Al entrar en la Ciudad Eterna, descubrís los muchos edificios y monumentos antiguos que alberga. Es realmente impresionante. Tratáis de imaginar cómo se sintieron los apóstoles cuando llegaron por primera vez en su misión sagrada en la época de máximo apogeo del poder de la ciudad. Aunque amplias zonas parecen despobladas, la ciudad sigue alardeando de una población impresionante que se concentra alrededor del río Tíber. Los lugares sagrados que queréis visitar son, principalmente, las basílicas de San Pedro y San Pablo, así como otras iglesias antiguas y lugares relacionados con los mártires. Iniciáis vuestro camino hacia el centro de la ciudad, esperando no perderos entre el tráfico, pues cada vez hay más gente.;;;;;;;;;x
EVTDESC_SoA_5054;You have finally arrived at Santiago, the oldest major pilgrimage site in the West. It is an inland town close to the Atlantic Ocean, with origins going back at least to the Roman Empire. The fabled Way of Saint James is a long road to travel, and you have passed through many towns and villages on your way here.\n\nThe legend holds that as Saint James' remains were brought here by ship from Jerusalem, they were lost at sea due to a storm. But soon after they were miraculously washed ashore, covered in scallops. Because of this, scallop shells have become a popular souvenir among pilgrims.\n\nYour mind dwells on the legends of this holy place, as you make your way through the crowds towards the center of town.;Vous voici enfin à Saint-Jacques-de-Compostelle, le plus ancien lieu de pèlerinage de l'ouest. La ville est proche de l'océan Atlantique et son origine remonte au moins à l'Empire romain. La célèbre route de saint Jacques est longue et vous avez traversé de nombreuses villes et villages avant d'arriver ici.\n\nSelon la légende, lorsque les restes de saint Jacques ont été apportés ici par bateau depuis Jérusalem, une tempête éclata et on les perdit en mer. Mais ils furent bientôt retrouvés sur le rivage, couverts de coquilles. C'est pour cette raison que les coquilles St-Jacques sont devenus très populaires auprès des pèlerins.\n\nVous songez aux légendes qui concernent ce lieu saint alors que vous vous frayez un chemin vers le centre de la ville.;Endlich erreicht Ihr Santiago, die älteste Pilgerstätte im Westen. Die Stadt liegt landeinwärts, in der Nähe des Atlantiks, und hat römische Wurzeln. Dem berühmten Jakobsweg folgend, habt Ihr viele Städte und Dörfer am Wegesrand hinter Euch gelassen.\nDer Legende nach war das Schiff, das die Gebeine des heiligen Jakobus hierher bringen sollte, in einem Sturm gesunken, doch wie durch ein Wunder fand man seine sterblichen Überreste an Land gespült wieder, nur mehr mit Muscheln bedeckt. So kam es, dass diese Jakobsmuscheln bei den Pilgern zu einem besonders beliebten Souvenir avancierten.\nEure Gedanken kreisen um diese und andere Legenden, als Ihr Euch im Strom der Menschen dem Zentrum der Stadt nähert.;;Por fin habéis llegado a Santiago, el escenario de peregrinación de mayor relevancia y antigüedad de Occidente. Es una población de interior cercana al océano Atlántico, cuyos orígenes se remontan al menos al Imperio romano. El legendario Camino de Santiago es un viaje largo y habéis pasado por muchas ciudades y pueblos hasta llegar aquí.\n\nLa leyenda cuenta que, durante el traslado en barco desde Jerusalén de los restos de Santiago, éstos se perdieron en el mar durante una tormenta. Pero pronto llegarían milagrosamente a la orilla, cubiertos de conchas. Es por este motivo que las vieiras se han convertido en un souvenir popular entre los peregrinos.\n\nNo dejáis de pensar en las leyendas que alimentan este lugar sagrado, mientras os abrís paso entre la muchedumbre hasta el centro de la ciudad.;;;;;;;;;x
EVTDESC_SoA_5056;As you walk around on this holy ground, you ponder the secrets and the essence of God. The teachings of the holy church have never felt more relevant to you than now. Imagine the knowledge contained in the scriptures stored here!;Alors que vous marchez sur cette terre sacrée, vous méditez sur les secrets et sur l'essence de Dieu. Les enseignements de la sainte Église ne vous ont jamais parus aussi pertinents. Imaginez les connaissances renfermées dans les écritures qui se trouvent ici !;Auf Euren Spaziergängen an diesem heiligen Ort überdenkt Ihr die Geheimnisse und das Wesen Gottes. Nie schienen Euch die Lehren der Kirche wichtiger als jetzt. Welch großartigen Geheimnisse die Schriften, die man hier aufbewahrt, wohl bergen!;;Al deambular por esta tierra sagrada, reflexionáis acerca de los secretos y la esencia de Dios. Las enseñanzas de la santa iglesia nunca habían sido tan trascendentes para vos como ahora. ¡Imaginad el conocimiento que contienen las escrituras que guardan!;;;;;;;;;x
EVTDESC_SoA_5057;The saints, this holy ground, how it all moves my soul! I realize now that all my life up to this point has only been a preparation for this journey. How wondrous that the light of the Lord truly shines in me, a poor sinner. From now on I shall always do His work.;Les saints, la terre sacrée... mon âme en est toute émue ! Je comprends maintenant que toute ma vie jusqu'à cet instant n'a été qu'une préparation pour accomplir ce voyage. La lumière de Dieu qui brille en moi, pauvre pêcheur, est vraiment merveilleuse. Désormais, j'accomplirai toujours Son oeuvre.;Die Heiligen und dieser geheiligte Ort berühren meine Seele. Nun verstehe ich, dass mein bisheriges Leben nur der Vorbereitung auf diese Reise gedient hat. Wie wunderbar, dass mir, einem einfachen Sünder, das Licht Gottes erscheint. Vom heutigen Tage an werde ich sein Werkzeug sein.;;Los santos, esta tierra sagrada, ¡la emoción me embarga! Ahora comprendo que toda mi vida ha sido sólo una preparación para este viaje. No hay nada más maravilloso que la luz del Señor brille realmente en mí, un pobre pecador. Desde ahora, siempre llevaré a cabo SU obra.;;;;;;;;;x
EVTDESC_SoA_5058;Traveling all this way to see the holy places, you had hoped for more than this. It's just lots of people, some churches and a few bones that really look quite suspicious. Before coming, you had read the exalted stories of other pilgrims, but this just isn't like they described it.;Après ce long voyage vers les lieux sacrés, vous restez sur votre faim. Il y a beaucoup de monde, quelques églises et des ossements ici et là qui ne vous inspirent pas confiance. Avant votre arrivée, vous avez entendu les histoires exaltées racontées par les autres pèlerins, mais rien ici ne correspond aux descriptions qu'ils en ont faites.;Nach den Strapazen Eurer Reise hättet Ihr Euch mehr als dies versprochen. Nichts als Massen von Menschen, ein paar Kirchen und einige Knochen, die Euer Misstrauen wecken. Zuhause hörtet Ihr die begeisterten Berichte der Pilger, doch nun fällt es Euch schwer, diese Begeisterung in Euch zu entdecken.;;A lo largo de todo el camino recorrido para visitar los lugares sagrados, esperabais mucho más. Sólo son montones de gente, algunas iglesias y unos huesos que resultan de lo más sospechoso. Antes de llegar, habíais leído historias glorificadas de otros peregrinos, pero no es como lo habían descrito.;;;;;;;;;x
